article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,article_idx,image_url,image_relative_path,in_home_feed,in_similar_items
0120129025,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,8,Dark Grey,4,Dark,12,Grey,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.,26,/images/012/0120129025.jpg,012/0120129025.jpg,False,True
0123173001,123173,Control Top 50 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.,27,/images/012/0123173001.jpg,012/0123173001.jpg,True,True
0129085001,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.,33,/images/012/0129085001.jpg,012/0129085001.jpg,False,True
0129085026,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.,34,/images/012/0129085026.jpg,012/0129085026.jpg,False,True
0144993001,144993,Mama 100 den 1p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.,39,/images/014/0144993001.jpg,014/0144993001.jpg,False,True
0146730001,146730,200 den 1p leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Opaque matt leggings with an elasticated waist. 200 denier.,51,/images/014/0146730001.jpg,014/0146730001.jpg,False,True
0148033001,148033,Nouvelle 1p Stay Up,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.,53,/images/014/0148033001.jpg,014/0148033001.jpg,False,True
0148033006,148033,Nouvelle 1p Stay Up,302,Socks,Socks & Tights,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.,54,/images/014/0148033006.jpg,014/0148033006.jpg,False,True
0153115020,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support.",58,/images/015/0153115020.jpg,015/0153115020.jpg,True,False
0156224002,156224,Box 4p Socks,-1,Unknown,Unknown,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Semi-matte socks with a short shaft. 20 denier.,64,/images/015/0156224002.jpg,015/0156224002.jpg,False,True
0156227001,156227,Box 4p Kneehighs,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Four pairs of knee highs. 20 denier.,65,/images/015/0156227001.jpg,015/0156227001.jpg,False,True
0156227002,156227,Box 4p Kneehighs,304,Underwear Tights,Socks & Tights,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Four pairs of knee highs. 20 denier.,66,/images/015/0156227002.jpg,015/0156227002.jpg,False,True
0156231001,156231,Box 4p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt tights with an elasticated waist. 20 denier.,67,/images/015/0156231001.jpg,015/0156231001.jpg,True,True
0156231002,156231,Box 4p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt tights with an elasticated waist. 20 denier.,68,/images/015/0156231002.jpg,015/0156231002.jpg,False,True
0158340001,158340,Highwaist 30 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,High-waisted tights that lift the bum and shape the waist and thighs. 30 denier.,73,/images/015/0158340001.jpg,015/0158340001.jpg,True,True
0160442007,160442,3p Sneaker Socks,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",74,/images/016/0160442007.jpg,016/0160442007.jpg,True,True
0160442010,160442,3p Sneaker Socks,302,Socks,Socks & Tights,1010016,Solid,10,White,3,Light,9,White,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",75,/images/016/0160442010.jpg,016/0160442010.jpg,True,True
0160442042,160442,Sneaker 3p Socks,302,Socks,Socks & Tights,1010010,Melange,6,Light Grey,2,Medium Dusty,12,Grey,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",76,/images/016/0160442042.jpg,016/0160442042.jpg,False,True
0160442043,160442,3p Sneaker Socks,302,Socks,Socks & Tights,1010010,Melange,6,Light Grey,2,Medium Dusty,12,Grey,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",77,/images/016/0160442043.jpg,016/0160442043.jpg,True,True
0164912035,164912,Scallop 5p Socks,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit socks with a scalloped edge.,83,/images/016/0164912035.jpg,016/0164912035.jpg,False,True
0164912039,164912,Scallop 5p Socks,302,Socks,Socks & Tights,1010010,Melange,53,Dark Pink,2,Medium Dusty,4,Pink,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit socks with a scalloped edge.,84,/images/016/0164912039.jpg,016/0164912039.jpg,False,True
0179123001,179123,Long Leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Jersey leggings with an elasticated waist.,115,/images/017/0179123001.jpg,017/0179123001.jpg,True,True
0179123040,179123,Long Leggings (1),273,Leggings/Tights,Garment Lower body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Jersey leggings with an elasticated waist.,116,/images/017/0179123040.jpg,017/0179123040.jpg,False,True
0179208001,179208,Control Top 100 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.,117,/images/017/0179208001.jpg,017/0179208001.jpg,True,True
0179208008,179208,Control Top 100 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010010,Melange,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.,118,/images/017/0179208008.jpg,017/0179208008.jpg,False,True
0179950001,179950,Austin basic leather hip belt,67,Belt,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Leather belt with a metal buckle. Width 2.5 cm.,121,/images/017/0179950001.jpg,017/0179950001.jpg,True,True
0179950002,179950,Austin basic leather hip belt,67,Belt,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Leather belt with a metal buckle. Width 2.5 cm.,122,/images/017/0179950002.jpg,017/0179950002.jpg,False,True
0179950017,179950,Austin basic leather hip belt,67,Belt,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Leather belt with a metal buckle. Width 2.5 cm.,123,/images/017/0179950017.jpg,017/0179950017.jpg,False,True
0181448022,181448,Jenny 5-pack,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3937,UW,D,Divided,2,Divided,51,Divided Basics,1017,"Under-, Nightwear",Fine-knit socks.,125,/images/018/0181448022.jpg,018/0181448022.jpg,False,True
0181448104,181448,Jenny 5-pack,302,Socks,Socks & Tights,1010010,Melange,63,Dark Purple,5,Bright,6,Lilac Purple,3937,UW,D,Divided,2,Divided,51,Divided Basics,1017,"Under-, Nightwear",Fine-knit socks.,128,/images/018/0181448104.jpg,018/0181448104.jpg,False,True
0181448105,181448,Jenny 5-pack,302,Socks,Socks & Tights,1010006,Dot,9,Black,4,Dark,5,Black,3937,UW,D,Divided,2,Divided,51,Divided Basics,1017,"Under-, Nightwear",Fine-knit socks.,129,/images/018/0181448105.jpg,018/0181448105.jpg,False,True
0182909001,182909,Fleece 1 p tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Opaque tights with an elasticated waist and soft fleece inside.,132,/images/018/0182909001.jpg,018/0182909001.jpg,False,True
0184123020,184123,FIFTY SHADES  tie brief,59,Swimwear bottom,Swimwear,1010001,All over pattern,10,White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a mid waist and wide ties at the sides.,135,/images/018/0184123020.jpg,018/0184123020.jpg,False,True
0188183001,188183,Spanx alot shape Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",160,/images/018/0188183001.jpg,018/0188183001.jpg,True,True
0188183008,188183,SPANX ALOT swimsuit (1),57,Swimsuit,Swimwear,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",161,/images/018/0188183008.jpg,018/0188183008.jpg,False,True
0188183009,188183,SPANX ALOT swimsuit (1),57,Swimsuit,Swimwear,1010017,Stripe,10,White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",162,/images/018/0188183009.jpg,018/0188183009.jpg,False,True
0188183010,188183,SPANX ALOT swimsuit (1),57,Swimsuit,Swimwear,1010016,Solid,43,Dark Red,4,Dark,18,Red,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",163,/images/018/0188183010.jpg,018/0188183010.jpg,False,True
0188183012,188183,SPANX ALOT swimsuit (1),57,Swimsuit,Swimwear,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",164,/images/018/0188183012.jpg,018/0188183012.jpg,False,True
0188183014,188183,SPANX ALOT swimsuit (1),57,Swimsuit,Swimwear,1010001,All over pattern,8,Dark Grey,4,Dark,12,Grey,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",165,/images/018/0188183014.jpg,018/0188183014.jpg,False,True
0188183015,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,93,Dark Green,4,Dark,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",166,/images/018/0188183015.jpg,018/0188183015.jpg,False,True
0188183016,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010017,Stripe,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",167,/images/018/0188183016.jpg,018/0188183016.jpg,False,True
0188183018,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010001,All over pattern,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",168,/images/018/0188183018.jpg,018/0188183018.jpg,False,True
0188183020,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",169,/images/018/0188183020.jpg,018/0188183020.jpg,False,True
0188183021,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,42,Red,5,Bright,18,Red,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",170,/images/018/0188183021.jpg,018/0188183021.jpg,False,True
0188183022,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",171,/images/018/0188183022.jpg,018/0188183022.jpg,False,True
0188183023,188183,Spanx alot Swimsuit,57,Swimsuit,Swimwear,1010001,All over pattern,71,Light Blue,3,Light,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",172,/images/018/0188183023.jpg,018/0188183023.jpg,False,True
0189616001,189616,Tina leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,175,/images/018/0189616001.jpg,018/0189616001.jpg,True,True
0189616006,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,176,/images/018/0189616006.jpg,018/0189616006.jpg,True,True
0189616007,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,177,/images/018/0189616007.jpg,018/0189616007.jpg,False,True
0189616008,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,178,/images/018/0189616008.jpg,018/0189616008.jpg,True,True
0189616009,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,73,Dark Blue,4,Dark,2,Blue,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,179,/images/018/0189616009.jpg,018/0189616009.jpg,False,True
0189616014,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,180,/images/018/0189616014.jpg,018/0189616014.jpg,False,True
0189616015,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,181,/images/018/0189616015.jpg,018/0189616015.jpg,False,True
0189616016,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,182,/images/018/0189616016.jpg,018/0189616016.jpg,False,True
0189616028,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010018,Treatment,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,183,/images/018/0189616028.jpg,018/0189616028.jpg,False,True
0189616032,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010020,Contrast,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,184,/images/018/0189616032.jpg,018/0189616032.jpg,False,True
0189616038,189616,Heavy jsy long leg,273,Leggings/Tights,Garment Lower body,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.,185,/images/018/0189616038.jpg,018/0189616038.jpg,False,True
0189626001,189626,Jodi skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, bell-shaped skirt in stretch jersey with wide elastication at the waist. Unlined.",186,/images/018/0189626001.jpg,018/0189626001.jpg,False,True
0189634001,189634,Long Leg Leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in stretch jersey with an elasticated waist.,187,/images/018/0189634001.jpg,018/0189634001.jpg,True,True
0189634031,189634,Long Leg Leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in stretch jersey with an elasticated waist.,188,/images/018/0189634031.jpg,018/0189634031.jpg,False,True
0189654001,189654,Raven skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short jersey skirt with an elasticated waist.,189,/images/018/0189654001.jpg,018/0189654001.jpg,False,False
0190021001,190021,Basic 5p Minishaftless,302,Socks,Socks & Tights,1010016,Solid,10,White,3,Light,9,White,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Fine-knit, shaftless socks.",200,/images/019/0190021001.jpg,019/0190021001.jpg,False,True
