query_customer_idx,similar_customer_idx,rank,similarity_score,query_top_garment_groups,similar_top_garment_groups,common_garment_groups,query_top_sections,similar_top_sections,common_sections
36424,995059,2,0.6141329407691956,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Jersey Fancy | Outdoor | Accessories | Knitwear | Trousers,Trousers | Jersey Fancy | Knitwear,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Divided Collection | Womens Everyday Collection | Divided Selected | Womens Jackets | Divided Projects,Womens Everyday Collection | Divided Collection
36424,985629,3,0.594382107257843,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Accessories,,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Womens Big accessories | Divided Accessories,
36424,341236,4,0.5845848321914673,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Dresses Ladies | Outdoor | Jersey Fancy | Knitwear | Socks and Tights,Jersey Fancy | Dresses Ladies | Knitwear,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics","Womens Everyday Collection | Womens Nightwear, Socks & Tigh | Womens Jackets | Womens Casual | Womens Tailoring","Womens Everyday Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh"
36424,685370,5,0.578495442867279,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Jersey Fancy | Dresses Ladies | Trousers | Shoes | Outdoor,Trousers | Jersey Fancy | Dresses Ladies,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Divided Collection | Womens Everyday Collection | Womens Shoes | Divided Selected | Womens Jackets,Womens Everyday Collection | Divided Collection
36424,1140279,6,0.5779574513435364,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,"Dresses Ladies | Trousers | Jersey Fancy | Under-, Nightwear | Accessories",Trousers | Jersey Fancy | Dresses Ladies,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Divided Collection | Womens Everyday Collection | Womens Lingerie | Divided Basics | Divided Selected,Womens Everyday Collection | Divided Collection
36424,236273,7,0.5725599527359009,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Accessories | Shoes | Jersey Fancy | Dresses Ladies | Unknown,Jersey Fancy | Dresses Ladies,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Womens Everyday Collection | Divided Collection | Womens Shoes | Womens Big accessories | Divided Selected,Womens Everyday Collection | Divided Collection
36424,932381,8,0.5673595070838928,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,"Under-, Nightwear | Knitwear | Shoes | Skirts | Jersey Fancy",Jersey Fancy | Knitwear,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Womens Tailoring | Womens Everyday Collection | Divided Collection | Womens Shoes | Womens Lingerie,Womens Everyday Collection | Divided Collection | Womens Tailoring
36424,1158829,9,0.5641409158706665,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Accessories,,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Divided Accessories,
36424,1313379,10,0.5633853673934937,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,Jersey Fancy | Knitwear | Shoes | Dresses Ladies | Accessories,Jersey Fancy | Dresses Ladies | Knitwear,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics",Womens Everyday Collection | Divided Collection | Womens Trend | Womens Shoes | Divided Projects,Womens Everyday Collection | Divided Collection
63928,683982,1,0.5953843593597412,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Under-, Nightwear | Jersey Fancy | Swimwear | Trousers Denim | Dresses Ladies","Jersey Fancy | Under-, Nightwear | Dresses Ladies",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,"Womens Lingerie | Ladies H&M Sport | Womens Swimwear, beachwear | Ladies Denim | Womens Everyday Collection",Womens Everyday Collection | Womens Lingerie | Ladies H&M Sport | Ladies Denim
63928,28625,2,0.5947063565254211,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Jersey Fancy | Under-, Nightwear | Blouses | Trousers | Swimwear","Jersey Fancy | Blouses | Trousers | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Lingerie | Womens Everyday Collection | Ladies H&M Sport | Womens Tailoring | Divided Collection,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport
63928,1090434,3,0.5855926871299744,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Jersey Fancy | Blouses | Under-, Nightwear | Accessories | Shoes","Jersey Fancy | Blouses | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Everyday Collection | Womens Tailoring | Ladies H&M Sport | Womens Lingerie | Womens Casual,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport
63928,333364,4,0.5704272389411926,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Under-, Nightwear | Jersey Fancy | Trousers Denim | Blouses | Swimwear","Jersey Fancy | Blouses | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Lingerie | Womens Everyday Collection | Ladies Denim | Womens Tailoring | Womens Casual,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies Denim
63928,6500,5,0.5639941692352295,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Under-, Nightwear | Trousers | Jersey Fancy | Blouses | Knitwear","Jersey Fancy | Blouses | Trousers | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Lingerie | Womens Tailoring | Womens Everyday Collection | Divided Selected | Womens Casual,Womens Everyday Collection | Womens Tailoring | Womens Lingerie
63928,1308055,6,0.5591262578964233,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Jersey Basic | Jersey Fancy | Under-, Nightwear | Knitwear | Dresses Ladies","Jersey Fancy | Under-, Nightwear | Dresses Ladies",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Everyday Collection | Womens Everyday Basics | Womens Tailoring | Divided Collection | Womens Lingerie,Womens Everyday Collection | Womens Tailoring | Womens Lingerie
63928,302126,7,0.5590485334396362,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies",Knitwear | Blouses | Jersey Fancy | Dresses Ladies | Trousers,Jersey Fancy | Blouses | Trousers | Dresses Ladies,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Casual | Womens Lingerie,Womens Everyday Collection | Womens Tailoring | Womens Lingerie
63928,1273535,8,0.5503466725349426,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Jersey Fancy | Dresses Ladies | Knitwear | Under-, Nightwear | Jersey Basic","Jersey Fancy | Under-, Nightwear | Dresses Ladies",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Ladies H&M Sport | Womens Everyday Collection | Womens Tailoring | Womens Casual | Womens Lingerie,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport
63928,463697,9,0.548926055431366,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies",Blouses | Dresses Ladies | Trousers | Jersey Fancy | Jersey Basic,Jersey Fancy | Blouses | Trousers | Dresses Ladies,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,Womens Everyday Collection | Womens Tailoring | Divided Collection | Ladies Denim | Womens Casual,Womens Everyday Collection | Womens Tailoring | Ladies Denim
63928,766985,10,0.5478146076202393,"Jersey Fancy | Blouses | Trousers | Under-, Nightwear | Dresses Ladies","Under-, Nightwear | Jersey Fancy | Blouses | Dresses Ladies | Swimwear","Jersey Fancy | Blouses | Under-, Nightwear | Dresses Ladies",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport | Ladies Denim,"Womens Lingerie | Womens Tailoring | Womens Everyday Collection | Womens Swimwear, beachwear | Ladies H&M Sport",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies H&M Sport
160654,72166,1,0.6517993211746216,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Jersey Fancy | Accessories | Knitwear | Socks and Tights | Dresses Ladies,Knitwear | Jersey Fancy,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,"Womens Everyday Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Big accessories | Baby Essentials & Complements",Womens Everyday Collection | Womens Tailoring
160654,402642,2,0.6008620262145996,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Dresses Ladies | Knitwear | Skirts | Blouses | Jersey Fancy,Knitwear | Jersey Fancy | Skirts,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Everyday Collection | Womens Tailoring | Divided Collection | Divided Projects | Womens Premium,Womens Everyday Collection | Womens Tailoring | Divided Collection
160654,978743,3,0.5993641018867493,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Jersey Fancy | Accessories | Trousers | Dresses Ladies | Blouses,Jersey Fancy | Trousers,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Small accessories | Womens Big accessories,Womens Everyday Collection | Womens Tailoring | Divided Collection
160654,323143,4,0.5988909006118774,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear","Knitwear | Under-, Nightwear | Jersey Fancy | Blouses | Accessories","Knitwear | Jersey Fancy | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Tailoring | Womens Lingerie | Womens Everyday Collection | Divided Collection | Womens Casual,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie
160654,1360700,5,0.5962177515029907,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Jersey Fancy | Knitwear | Blouses | Accessories | Dresses Ladies,Knitwear | Jersey Fancy,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Big accessories | Contemporary Smart,Womens Everyday Collection | Womens Tailoring | Divided Collection
160654,554436,6,0.5961004495620728,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear","Socks and Tights | Under-, Nightwear | Accessories | Knitwear | Jersey Fancy","Knitwear | Jersey Fancy | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,"Womens Nightwear, Socks & Tigh | Womens Lingerie | Womens Everyday Collection | Womens Tailoring | Womens Small accessories",Womens Everyday Collection | Womens Tailoring | Womens Lingerie
160654,839949,7,0.5868248343467712,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Skirts | Knitwear | Blouses | Trousers | Jersey Fancy,Knitwear | Jersey Fancy | Trousers | Skirts,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Everyday Collection | Womens Tailoring | Baby Girl | Kids & Baby Shoes | Baby Essentials & Complements,Womens Everyday Collection | Womens Tailoring
160654,1190520,8,0.5865812301635742,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear","Knitwear | Accessories | Under-, Nightwear | Socks and Tights | Blouses","Knitwear | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,"Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Womens Nightwear, Socks & Tigh | Womens Big accessories",Womens Everyday Collection | Womens Tailoring | Womens Lingerie
160654,66907,9,0.5835866928100586,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Knitwear,Knitwear,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Tailoring,Womens Tailoring
160654,1093171,10,0.5835866332054138,"Knitwear | Jersey Fancy | Trousers | Skirts | Under-, Nightwear",Knitwear,Knitwear,Womens Everyday Collection | Womens Tailoring | Divided Collection | Womens Lingerie | Womens Trend,Womens Tailoring,Womens Tailoring
261666,1236953,1,0.653657078742981,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic",Jersey Fancy | Trousers | Trousers Denim | Jersey Basic | Knitwear,Jersey Fancy | Trousers | Knitwear | Jersey Basic,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Everyday Collection | Womens Casual | Ladies Denim | Womens Everyday Basics | Womens Tailoring,Womens Everyday Collection | Womens Tailoring | Ladies Denim
261666,1201798,2,0.630720317363739,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic","Trousers | Jersey Fancy | Knitwear | Under-, Nightwear | Blouses","Jersey Fancy | Trousers | Knitwear | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Everyday Collection | Womens Tailoring | Womens Casual | Ladies Denim | Womens Lingerie,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Ladies Denim
261666,680471,3,0.6129844784736633,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic",Knitwear | Jersey Fancy | Jersey Basic | Accessories | Trousers Denim,Jersey Fancy | Knitwear | Jersey Basic,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Everyday Collection | Womens Casual | Divided Collection | Womens Everyday Basics | Ladies Denim,Womens Everyday Collection | Divided Collection | Ladies Denim
261666,79646,4,0.6092525124549866,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic","Jersey Fancy | Blouses | Under-, Nightwear | Trousers Denim | Knitwear","Jersey Fancy | Knitwear | Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Everyday Collection | Womens Casual | Ladies Denim | Womens Lingerie | Divided Collection,Womens Everyday Collection | Womens Lingerie | Divided Collection | Ladies Denim
261666,457656,5,0.5792267918586731,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic",Trousers | Jersey Fancy | Skirts | Shoes | Dressed,Jersey Fancy | Trousers,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Everyday Collection | Womens Casual | Womens Shoes | Ladies H&M Sport | Womens Jackets,Womens Everyday Collection
261666,1217771,6,0.5728803873062134,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic",Jersey Fancy | Trousers | Jersey Basic | Knitwear | Dresses Ladies,Jersey Fancy | Trousers | Knitwear | Jersey Basic,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Everyday Collection | Ladies H&M Sport | Womens Casual | Womens Tailoring | Womens Everyday Basics,Womens Everyday Collection | Womens Tailoring
261666,853522,7,0.5676153302192688,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic","Under-, Nightwear","Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,"Womens Nightwear, Socks & Tigh",
261666,182641,8,0.5630922913551331,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic","Accessories | Under-, Nightwear","Under-, Nightwear",Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,"Womens Small accessories | Womens Nightwear, Socks & Tigh",
261666,1271895,9,0.560197114944458,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic",Jersey Fancy | Knitwear,Jersey Fancy | Knitwear,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Ladies H&M Sport | Womens Casual | Womens Everyday Collection,Womens Everyday Collection
261666,52831,10,0.5567764043807983,"Jersey Fancy | Trousers | Knitwear | Under-, Nightwear | Jersey Basic",Shoes,,Womens Everyday Collection | Womens Tailoring | Womens Lingerie | Divided Collection | Ladies Denim,Womens Shoes,
281710,1116916,1,0.7522467374801636,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Jersey Fancy | Blouses | Dresses Ladies | Accessories | Trousers,Jersey Fancy | Dresses Ladies | Blouses | Trousers,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Divided Collection | Womens Everyday Collection | Womens Tailoring | Womens Casual | Divided Selected,Divided Collection | Womens Everyday Collection | Divided Selected
281710,531107,2,0.7263946533203125,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Jersey Fancy | Dresses Ladies | Shoes | Blouses | Trousers,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Womens Everyday Collection | Divided Collection | Womens Shoes | Womens Big accessories | Young Girl,Divided Collection | Womens Everyday Collection | Womens Shoes
281710,1281724,3,0.6851086616516113,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Dresses Ladies | Jersey Fancy | Blouses | Outdoor | Shoes,Jersey Fancy | Dresses Ladies | Blouses | Shoes,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Divided Collection | Womens Everyday Collection | Contemporary Street | Divided Projects | Divided Selected,Divided Collection | Womens Everyday Collection | Divided Selected
281710,437123,4,0.6734908819198608,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,"Jersey Fancy | Jersey Basic | Under-, Nightwear | Dresses Ladies | Shoes",Jersey Fancy | Dresses Ladies | Shoes,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Young Girl | Womens Everyday Collection | Divided Collection | Womens Everyday Basics | Divided Basics,Divided Collection | Womens Everyday Collection
281710,112918,5,0.6719685792922974,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Jersey Fancy | Dresses Ladies | Blouses | Knitwear | Outdoor,Jersey Fancy | Dresses Ladies | Blouses,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Womens Everyday Collection | Divided Collection | Womens Casual | Divided Selected | Divided Basics,Divided Collection | Womens Everyday Collection | Divided Selected
281710,350375,6,0.6652026176452637,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Jersey Fancy | Jersey Basic | Dresses Ladies | Blouses | Knitwear,Jersey Fancy | Dresses Ladies | Blouses,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Divided Collection | Womens Everyday Collection | Divided Basics | Divided Selected | Womens Casual,Divided Collection | Womens Everyday Collection | Divided Selected
281710,1098991,7,0.6638249754905701,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Dresses Ladies | Blouses | Jersey Fancy | Shoes | Trousers,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Womens Everyday Collection | Divided Collection | Divided Projects | Womens Shoes | Womens Premium,Divided Collection | Womens Everyday Collection | Womens Shoes
281710,982872,8,0.659773051738739,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Jersey Fancy | Shoes | Blouses | Knitwear | Trousers,Jersey Fancy | Blouses | Shoes | Trousers,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Divided Collection | Womens Everyday Collection | Womens Shoes | Young Boy | Divided Accessories,Divided Collection | Womens Everyday Collection | Womens Shoes
281710,27963,9,0.6597678661346436,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,"Accessories | Shoes | Dresses Ladies | Blouses | Under-, Nightwear",Dresses Ladies | Blouses | Shoes,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Womens Everyday Collection | Divided Collection | Womens Small accessories | Divided Accessories | Womens Big accessories,Divided Collection | Womens Everyday Collection
281710,1340330,10,0.6562649011611938,Jersey Fancy | Dresses Ladies | Blouses | Shoes | Trousers,Dresses Ladies | Knitwear | Shoes | Jersey Basic | Blouses,Dresses Ladies | Blouses | Shoes,Divided Collection | Womens Everyday Collection | Divided Selected | Womens Shoes | Kids & Baby Shoes,Womens Everyday Collection | Divided Collection | Womens Shoes | Womens Everyday Basics | Womens Casual,Divided Collection | Womens Everyday Collection | Womens Shoes
394603,1198968,1,0.6638822555541992,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,Jersey Fancy | Special Offers,Jersey Fancy,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh",Divided Collection | Divided Projects,Divided Collection | Divided Projects
394603,899373,2,0.6598811149597168,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,Jersey Fancy,Jersey Fancy,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh",Divided Collection,Divided Collection
394603,1093115,3,0.6598809957504272,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,Jersey Fancy,Jersey Fancy,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh",Divided Collection,Divided Collection
394603,921737,4,0.6528211832046509,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,Dresses Ladies | Jersey Fancy | Blouses | Skirts | Knitwear,Jersey Fancy | Dresses Ladies | Blouses,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh",Divided Collection | Divided Projects | Divided Accessories | Divided Basics | Womens Everyday Collection,Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics
394603,1139701,5,0.6498446464538574,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,"Dresses Ladies | Jersey Fancy | Under-, Nightwear | Jersey Basic | Knitwear",Jersey Fancy | Dresses Ladies | Jersey Basic,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh","Divided Collection | Divided Projects | Womens Nightwear, Socks & Tigh | Womens Everyday Collection | Divided Basics","Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh"
394603,475373,6,0.6486372947692871,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,Shoes,,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh",Womens Shoes,
394603,1039082,7,0.638272225856781,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,"Jersey Fancy | Trousers | Jersey Basic | Under-, Nightwear | Trousers Denim",Trousers | Jersey Fancy | Jersey Basic,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh","Divided Collection | Divided Basics | Ladies Denim | Womens Swimwear, beachwear | Womens Lingerie",Divided Collection | Divided Basics
394603,1111162,8,0.6283486485481262,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Blouses,Special Offers,,"Divided Collection | Womens Everyday Collection | Divided Projects | Divided Basics | Womens Nightwear, Socks & Tigh",Divided Projects,Divided Projects
